CustomerID,Age,Tenure,MonthlyCharge,TotalCharge,Contract,InternetService,Churn
CUST_0001,56,11,64.63686465125855,726.1518802296476,Month-to-month,No,1
CUST_0002,69,26,106.42161776741689,2787.3188451432266,Month-to-month,DSL,0
CUST_0003,46,63,75.81402495938629,4776.56308699378,Month-to-month,Fiber optic,0
CUST_0004,32,59,73.99058395022125,4369.626323847731,One year,DSL,0
CUST_0005,60,27,23.41877659391582,614.6339945046213,Two year,Fiber optic,0
CUST_0006,25,49,118.66929803571615,5800.28587112568,Month-to-month,Fiber optic,1
CUST_0007,78,33,32.29708085296267,1057.421705007673,Two year,Fiber optic,0
CUST_0008,38,1,43.11309124276466,38.67690819759413,One year,DSL,1
CUST_0009,56,21,25.169683724152698,517.602127959826,One year,Fiber optic,0
CUST_0010,75,55,84.00029668369137,4619.656363483253,Month-to-month,No,0
CUST_0011,36,6,42.470117697267995,250.68361450686177,Month-to-month,DSL,0
CUST_0012,40,69,38.00104374727235,2632.7809708751884,One year,Fiber optic,0
CUST_0013,28,5,28.855558422324137,139.5300556567836,One year,Fiber optic,0
CUST_0014,28,3,30.330895712401567,68.12550765504974,Month-to-month,No,1
CUST_0015,41,53,78.46707004425888,4160.012224071075,One year,DSL,0
CUST_0016,70,23,88.82078658665954,2042.736111249056,Two year,No,0
CUST_0017,53,53,59.7378988464401,3157.4881400472805,Two year,Fiber optic,0
CUST_0018,57,37,67.98970815920732,2516.569200725641,Two year,No,0
CUST_0019,41,17,88.59677359829841,1495.3925052888096,Month-to-month,No,0
CUST_0020,20,1,21.737979018547964,25.03637855478139,Month-to-month,DSL,0
CUST_0021,39,51,52.31306570702785,2694.295595427719,One year,DSL,1
CUST_0022,70,45,117.30977480703464,5260.883811587491,Month-to-month,DSL,0
CUST_0023,19,4,78.01122296954681,306.88247100809565,Month-to-month,Fiber optic,1
CUST_0024,41,62,45.422457989749326,2809.4273441499668,Month-to-month,DSL,0
CUST_0025,61,65,72.17300466362131,4686.91270430051,Month-to-month,DSL,1
CUST_0026,47,32,54.26534881209153,1746.6904077828988,Month-to-month,Fiber optic,1
CUST_0027,55,34,73.22449888262992,2495.0612276026072,Month-to-month,DSL,1
CUST_0028,19,39,32.574151180664884,1278.8795610719947,Month-to-month,DSL,0
CUST_0029,77,26,33.27146538192774,865.3630549776572,Month-to-month,Fiber optic,0
CUST_0030,38,34,34.35423620393929,1154.8230377344871,One year,DSL,0
CUST_0031,50,54,113.98197919268418,6143.880022792347,One year,Fiber optic,0
CUST_0032,29,3,93.28989183413418,287.33227257706847,One year,Fiber optic,0
CUST_0033,75,50,36.238189466232086,1813.6177922957374,Month-to-month,Fiber optic,1
CUST_0034,39,12,38.83490837656014,478.62097457951006,Month-to-month,No,1
CUST_0035,78,65,93.08294748708764,6053.324207693165,One year,Fiber optic,0
CUST_0036,61,54,35.616384479217395,1911.454611944418,One year,Fiber optic,0
CUST_0037,42,5,43.45612933348286,212.06162852558276,One year,Fiber optic,0
CUST_0038,66,57,116.3346832820399,6636.725088573104,Month-to-month,No,0
CUST_0039,44,17,45.53065247284319,781.1244170007204,Two year,No,0
CUST_0040,76,47,86.16323503711467,4058.2231330659365,Month-to-month,No,1
CUST_0041,59,23,117.86312874005304,2700.366719889168,Month-to-month,Fiber optic,1
CUST_0042,45,14,57.42967671397926,792.0051723349404,One year,DSL,0
CUST_0043,77,66,21.751599086206223,1433.7075144921364,One year,DSL,0
CUST_0044,33,51,44.414729042237425,2279.551916319443,Month-to-month,DSL,0
CUST_0045,32,38,103.08771913417054,3910.3946438904004,Month-to-month,No,1
CUST_0046,79,64,106.46088359550367,6818.046269018245,One year,Fiber optic,0
CUST_0047,79,38,96.85193645237912,3684.9241965797964,Month-to-month,Fiber optic,1
CUST_0048,64,50,31.3109819076573,1573.156822879571,Month-to-month,Fiber optic,0
CUST_0049,79,30,99.55103716964031,3003.1755176286915,Month-to-month,No,0
CUST_0050,68,51,111.86777969935042,5720.875828914533,Two year,DSL,0
CUST_0051,61,63,80.06095425462361,5037.894059702892,Month-to-month,DSL,0
CUST_0052,72,52,114.08753563380648,5911.5728985448495,Two year,Fiber optic,0
CUST_0053,69,38,102.68388837118775,3895.2024647514872,One year,Fiber optic,0
CUST_0054,74,30,86.69715169909072,2601.671273913194,Two year,Fiber optic,0
CUST_0055,20,51,77.71852367117481,3960.0282544530587,Two year,No,0
CUST_0056,54,5,54.85736672419705,293.9658230502666,Month-to-month,DSL,0
CUST_0057,68,29,35.92874452428052,1042.1213942472993,Month-to-month,Fiber optic,0
CUST_0058,24,4,80.49539226905408,328.5186878787783,Month-to-month,Fiber optic,0
CUST_0059,38,10,51.81115536181195,520.2836967145929,Month-to-month,DSL,0
CUST_0060,26,56,106.64386675276454,5968.5902063199055,One year,No,0
CUST_0061,56,17,119.33369373586285,2009.424676730042,Month-to-month,Fiber optic,1
CUST_0062,35,17,95.24277626155725,1618.3410200610585,Month-to-month,Fiber optic,1
CUST_0063,21,69,29.048169528705074,2036.8701704121913,Month-to-month,No,0
CUST_0064,42,34,48.86855955306381,1649.0864408057912,Two year,Fiber optic,0
CUST_0065,77,6,30.910963176574974,167.31704861570762,Month-to-month,DSL,0
CUST_0066,31,53,85.05116477917157,4527.075626321783,Month-to-month,Fiber optic,0
CUST_0067,67,66,96.51908645557846,6377.680535766872,Month-to-month,Fiber optic,1
CUST_0068,75,43,112.56748308807119,4842.275971592296,Two year,DSL,0
CUST_0069,26,23,63.817234641198766,1481.4231353712423,One year,DSL,0
CUST_0070,43,55,110.13756495884444,6049.251053306883,Month-to-month,Fiber optic,1
CUST_0071,70,16,107.78911590413276,1723.5599068569777,Month-to-month,Fiber optic,0
CUST_0072,19,8,51.71957167653986,423.3081145813271,Month-to-month,DSL,0
CUST_0073,37,4,106.8900625540571,448.66379389443233,Month-to-month,Fiber optic,0
CUST_0074,45,4,57.56722518817265,218.5834576061245,Two year,No,0
CUST_0075,64,56,49.68692745602808,2795.2752821231766,One year,DSL,0
CUST_0076,77,25,84.90746587943931,2126.505037594393,Month-to-month,DSL,0
CUST_0077,24,67,52.83812278850811,3541.7848375043372,Two year,Fiber optic,0
CUST_0078,61,67,83.02087483291442,5562.321321582719,Month-to-month,DSL,1
CUST_0079,78,27,80.98318054986945,2172.699408639529,One year,Fiber optic,0
CUST_0080,25,32,76.34389273484588,2452.6354574971983,Two year,DSL,0
CUST_0081,64,50,58.04197042327977,2894.275830960725,Month-to-month,Fiber optic,0
CUST_0082,52,61,74.84997216514768,4555.051395048985,One year,Fiber optic,0
CUST_0083,31,51,79.64854749854216,4070.9305120146532,Month-to-month,Fiber optic,0
CUST_0084,34,19,74.56868884954734,1424.6964283928662,Month-to-month,No,0
CUST_0085,53,21,64.44194527512016,1354.0708516136342,Month-to-month,No,0
CUST_0086,67,5,21.46670570462638,118.12896473124832,Month-to-month,Fiber optic,0
CUST_0087,57,42,78.7061707701151,3319.9185381596253,One year,Fiber optic,0
CUST_0088,21,61,36.844438514271964,2260.5929901488453,Two year,DSL,0
CUST_0089,19,22,84.25759689471896,1848.3843419497973,One year,Fiber optic,0
CUST_0090,79,21,95.9344327922866,2024.7641379508157,Two year,DSL,0
CUST_0091,23,70,70.04453091307414,4905.233573690276,Two year,No,0
CUST_0092,71,1,74.23636649797383,91.49544420149758,Month-to-month,Fiber optic,1
CUST_0093,59,5,115.14785596659911,574.5019964703238,Month-to-month,Fiber optic,1
CUST_0094,21,12,104.71673613725741,1253.0361172734058,Month-to-month,DSL,1
CUST_0095,71,46,111.42365159514699,5119.350004608334,One year,Fiber optic,1
CUST_0096,46,34,101.37662883195864,3448.6982592289496,Two year,No,1
CUST_0097,35,49,30.891834184673144,1518.367129724905,Month-to-month,Fiber optic,0
CUST_0098,43,45,34.89918559701947,1575.3229746951488,One year,No,0
CUST_0099,61,27,72.66237972689595,1965.3759780293092,One year,DSL,0
CUST_0100,51,26,44.60696587979982,1166.4914830015935,One year,Fiber optic,0
CUST_0101,27,47,67.66954750411591,3178.2433143343037,Month-to-month,No,0
CUST_0102,79,56,59.43653238183502,3319.7206602268425,Month-to-month,Fiber optic,0
CUST_0103,53,63,74.94142384304533,4711.711422142719,Month-to-month,No,1
CUST_0104,31,48,94.68757161358226,4554.753948404984,Month-to-month,DSL,1
CUST_0105,48,61,91.54909070992744,5589.1977564108565,Month-to-month,DSL,1
CUST_0106,65,26,72.12341324853344,1856.6503667523662,One year,No,0
CUST_0107,32,36,102.23934188170581,3691.5838420094087,Month-to-month,DSL,1
CUST_0108,25,1,63.08620915380333,81.89056061782988,Two year,No,0
CUST_0109,31,8,109.67142898401224,870.2122633645125,One year,No,0
CUST_0110,40,52,27.12802700551639,1414.0190047496128,One year,DSL,0
CUST_0111,77,47,115.46600300333074,5422.167560220221,Month-to-month,Fiber optic,1
CUST_0112,74,56,85.46930814313482,4792.564325270261,One year,DSL,0
CUST_0113,79,14,58.00745089372053,800.4442236213351,Two year,Fiber optic,0
CUST_0114,57,28,39.715412657287736,1111.3170978330688,Month-to-month,DSL,0
CUST_0115,38,2,67.91832294436,145.6497871687078,Month-to-month,DSL,0
CUST_0116,33,26,39.4558323185301,1038.208757674771,One year,Fiber optic,0
